dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-109
the8x3_filename: 00560109
filename_extension: tbd
filename_label: sunfish-2022-110-0-109-tbd(00560109)
mission_name: regm20.mi
fileopen_time: Thu_May_19_20:09:18_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-109
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1652990971.375 NaN NaN NaN 0 0 0 
NaN NaN NaN 1652991031.002 31.368 477.893 108.028 NaN NaN NaN 
NaN NaN NaN 1652991032.002 NaN NaN NaN 2.84476 0.0055 1.1178 
NaN NaN NaN 1652991093.002 NaN NaN NaN 2.82571 0.58014 0.6872 
NaN NaN NaN 1652991152.002 32.041 464.447 103.294 NaN NaN NaN 
NaN NaN NaN 1652991154.002 NaN NaN NaN 2.82121 1.48072 0.3558 
0.000451188 1.2656 2.4382 1652991211.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652991215.002 NaN NaN NaN 2.87174 2.26682 0.8052 
NaN NaN NaN 1652991273.002 32.559 431.807 97.894 NaN NaN NaN 
NaN NaN NaN 1652991276.002 NaN NaN NaN 2.92357 3.08873 1.3139 
NaN NaN NaN 1652991337.002 NaN NaN NaN 2.93531 3.89813 1.3922 
NaN NaN NaN 1652991394.002 32.773 419.71 95.804 NaN NaN NaN 
NaN NaN NaN 1652991398.002 NaN NaN NaN 2.94419 4.72236 1.478 
NaN NaN NaN 1652991459.002 NaN NaN NaN 2.95943 5.55181 1.6187 
0.000420384 1.1752 1.6644 1652991512.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652991515.002 32.821 414.544 95.121 NaN NaN NaN 
NaN NaN NaN 1652991520.002 NaN NaN NaN 2.96467 6.38699 1.666 
NaN NaN NaN 1652991581.002 NaN NaN NaN 2.97008 7.18868 1.7117 
NaN NaN NaN 1652991636.002 32.513 424.096 97.434 NaN NaN NaN 
NaN NaN NaN 1652991642.002 NaN NaN NaN 2.97391 7.92512 1.727 
NaN NaN NaN 1652991703.002 NaN NaN NaN 2.97144 8.60705 1.675 
NaN NaN NaN 1652991757.003 33.443 409.78 91.837 NaN NaN NaN 
