dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-122
the8x3_filename: 00560122
filename_extension: tbd
filename_label: sunfish-2022-110-0-122-tbd(00560122)
mission_name: regm20.mi
fileopen_time: Fri_May_20_20:18:42_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-122
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1653077976.076 31.746 467.749 105.122 NaN NaN NaN 
NaN NaN NaN 1653077980.076 NaN NaN NaN 2.822 0.01996 0.8846 
NaN NaN NaN 1653078041.076 NaN NaN NaN 2.82202 0.62998 0.8788 
0.000739296 1.4464 1.8907 1653078076.076 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653078097.076 31.715 469.173 105.408 NaN NaN NaN 
NaN NaN NaN 1653078102.076 NaN NaN NaN 2.82241 1.65043 0.8756 
NaN NaN NaN 1653078163.076 NaN NaN NaN 2.77899 2.55198 0.3033 
NaN NaN NaN 1653078218.076 32.631 454.344 99.437 NaN NaN NaN 
NaN NaN NaN 1653078224.076 NaN NaN NaN 2.74993 3.4221 -0.1366 
NaN NaN NaN 1653078285.076 NaN NaN NaN 2.7176 4.29492 -0.5517 
NaN NaN NaN 1653078339.076 34.054 416.804 89.643 NaN NaN NaN 
NaN NaN NaN 1653078346.076 NaN NaN NaN 2.71584 5.18087 -0.7478 
0.00023556 1.356 0.3285 1653078377.076 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653078407.076 NaN NaN NaN 2.7237 6.03776 -0.7598 
NaN NaN NaN 1653078460.076 34.948 388.1 83.489 NaN NaN NaN 
NaN NaN NaN 1653078468.076 NaN NaN NaN 2.74139 6.82582 -0.6149 
NaN NaN NaN 1653078529.076 NaN NaN NaN 2.7524 7.60053 -0.5573 
NaN NaN NaN 1653078581.076 35.078 380.659 82.357 NaN NaN NaN 
NaN NaN NaN 1653078590.076 NaN NaN NaN 2.77775 8.39051 -0.3379 
NaN NaN NaN 1653078651.076 NaN NaN NaN 2.79303 9.18377 -0.2038 
0.000219252 1.1752 0.2409 1653078678.076 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653078702.076 35.043 376.568 82.167 NaN NaN NaN 
