dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-128
the8x3_filename: 00560128
filename_extension: tbd
filename_label: sunfish-2022-110-0-128-tbd(00560128)
mission_name: regm20.mi
fileopen_time: Sat_May_21_11:21:07_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-128
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1653132126.08 31.852 462.04 104.076 NaN NaN NaN 
NaN NaN NaN 1653132130.08 NaN NaN NaN 2.82269 0.03342 0.908 
NaN NaN NaN 1653132191.08 NaN NaN NaN 2.80417 0.73862 0.6745 
0.00053454 1.356 2.6134 1653132219.08 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653132247.08 31.884 466.816 104.316 NaN NaN NaN 
NaN NaN NaN 1653132252.08 NaN NaN NaN 2.80491 1.6345 0.6671 
NaN NaN NaN 1653132313.08 NaN NaN NaN 2.76431 2.46204 0.1577 
NaN NaN NaN 1653132368.08 32.625 455.005 99.518 NaN NaN NaN 
NaN NaN NaN 1653132374.08 NaN NaN NaN 2.73575 3.2879 -0.3164 
NaN NaN NaN 1653132435.08 NaN NaN NaN 2.73414 4.11365 -0.3242 
NaN NaN NaN 1653132489.08 33.773 421.482 91.298 NaN NaN NaN 
NaN NaN NaN 1653132496.08 NaN NaN NaN 2.73464 4.9566 -0.4367 
0.000293544 1.356 0.8249 1653132520.08 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653132557.08 NaN NaN NaN 2.73968 5.77148 -0.4186 
NaN NaN NaN 1653132610.08 34.333 404.606 87.434 NaN NaN NaN 
NaN NaN NaN 1653132618.08 NaN NaN NaN 2.74369 6.54075 -0.5073 
NaN NaN NaN 1653132679.08 NaN NaN NaN 2.75921 7.29459 -0.3767 
NaN NaN NaN 1653132731.08 34.838 388.145 83.953 NaN NaN NaN 
NaN NaN NaN 1653132740.08 NaN NaN NaN 2.74998 8.02725 -0.5457 
NaN NaN NaN 1653132801.08 NaN NaN NaN 2.78684 8.7293 -0.2142 
0.000210192 1.2656 0.146 1653132821.08 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1653132852.08 34.883 377.119 82.866 NaN NaN NaN 
