dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-184
the8x3_filename: 00560184
filename_extension: sbd
filename_label: sunfish-2022-110-0-184-sbd(00560184)
mission_name: regm20.mi
fileopen_time: Sat_May_28_01:15:11_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-184
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.00033915 -0.130397 NaN NaN NaN NaN NaN NaN 1653700541.301 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700553.003 -0.0196361 NaN NaN NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 25.8712 NaN NaN NaN NaN NaN NaN 5004.08230011861 -5153.80030000228 NaN 1653700557.032 NaN NaN NaN 1 9.90475 NaN NaN 3 
-0.291709 NaN 0.011126 4.17983 NaN NaN NaN NaN NaN 0.0883075 14.6711 -0.306275 NaN NaN 0.0202639 NaN NaN NaN NaN NaN NaN NaN NaN 1653700633.138 NaN NaN 0.0488692 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.2653 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700667.152 1.32653 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.13992 NaN NaN -0.37001 1653700727.163 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700757.169 NaN NaN NaN NaN NaN -0.00033915 -0.130397 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 30.7414 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700787.175 3.07414 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700847.186 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 47.4321 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700907.198 4.74321 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.138116 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700937.204 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653700967.209 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 62.8574 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701027.221 6.28574 NaN NaN NaN NaN NaN NaN NaN 
-0.361851 NaN 0.122024 4.18025 NaN NaN NaN NaN NaN NaN 14.7642 -0.306275 NaN NaN 0.107109 NaN NaN NaN NaN NaN NaN NaN NaN 1653701057.227 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701087.233 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 78.6972 NaN NaN NaN NaN NaN NaN 3.65996 NaN NaN -0.350811 1653701147.245 7.86972 NaN NaN NaN NaN NaN NaN NaN 
NaN -305 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -293.889 NaN NaN NaN NaN NaN NaN 5003.99385224334 -5153.84496323591 NaN 1653701177.25 NaN NaN NaN 0 8.14085 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701207.256 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.136153 NaN NaN 95.0825 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701267.268 9.50825 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701327.28 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 110.53 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701387.291 11.053 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701447.302 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
-0.361851 NaN 0.139744 4.1811 NaN NaN NaN NaN NaN NaN 14.8279 -0.306275 122.879 NaN 0.138952 NaN NaN NaN NaN NaN NaN NaN NaN 1653701477.308 12.2879 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.84671 NaN NaN -0.342085 1653701567.33 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.127181 NaN NaN 137.126 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653701597.335 13.7126 NaN NaN NaN NaN NaN NaN NaN 
