dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-197
the8x3_filename: 00560197
filename_extension: sbd
filename_label: sunfish-2022-110-0-197-sbd(00560197)
mission_name: regm20.mi
fileopen_time: Mon_May_30_00:05:40_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-197
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0420971 -0.257451 NaN NaN NaN NaN NaN NaN 1653869170.899 NaN NaN NaN 1 NaN NaN NaN NaN 
NaN NaN NaN 3.86205 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869179 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.542586 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869195.044 0.0542586 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.072622 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869283.165 NaN NaN 0.0698132 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.17697 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869287.174 0.817697 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.72271 NaN NaN -0.352556 1653869317.18 NaN NaN NaN NaN NaN NaN NaN NaN 
-0.163986 NaN 0.246954 NaN NaN NaN NaN NaN NaN NaN 14.5987 -0.180037 NaN NaN 0.320809 NaN NaN NaN NaN NaN NaN NaN NaN 1653869347.186 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869377.192 NaN NaN 0.0453786 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.8384 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869407.198 2.38384 NaN NaN NaN NaN -0.0420971 -0.257451 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869467.209 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 33.2177 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869497.215 3.32177 NaN NaN NaN NaN NaN NaN NaN 
NaN -230 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -222.499 NaN NaN NaN NaN NaN NaN 4927.10819762834 -5214.62582358217 NaN 1653869557.226 NaN NaN NaN NaN 8.21782 NaN NaN 0 
NaN NaN NaN 3.86308 NaN NaN NaN NaN NaN 0.111133 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869587.232 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 46.3489 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869617.238 4.63489 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869707.255 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 59.4364 NaN NaN NaN NaN NaN NaN 3.57269 NaN NaN -0.329867 1653869737.261 5.94364 NaN NaN NaN NaN NaN NaN NaN 
-0.163986 NaN 0.0759869 NaN NaN NaN NaN NaN NaN NaN 14.7077 -0.180037 NaN NaN 0.0955298 NaN NaN NaN NaN NaN NaN NaN NaN 1653869767.267 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869797.273 NaN NaN NaN 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869827.279 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 72.5239 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869857.285 7.25239 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.109337 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869917.295 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869947.301 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 85.5896 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653869977.307 8.55896 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.8636 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653870007.313 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653870067.326 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 98.1754 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1653870097.332 9.81754 NaN NaN NaN NaN NaN NaN NaN 
