dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-226
the8x3_filename: 00560226
filename_extension: sbd
filename_label: sunfish-2022-110-0-226-sbd(00560226)
mission_name: regm20.mi
fileopen_time: Thu_Jun__2_20:30:15_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-226
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
0.9 NaN 0 NaN NaN NaN NaN NaN NaN NaN 14.5929 0.923737 NaN NaN 0.00289484 NaN NaN NaN NaN NaN NaN NaN NaN 1654201808.034 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.136327 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654201821.534 0.0136327 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0912867 -0.0753689 NaN NaN NaN NaN NaN NaN 1654201845.551 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.75437 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654201894.118 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2.01219 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654201914.135 0.201219 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654201950.166 NaN NaN NaN NaN NaN -0.0912867 -0.0753689 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.1028 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654201958.175 NaN NaN 0.0366519 0 NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.31947 NaN NaN -0.340339 1654201992.191 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 15.754 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202022.196 1.5754 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202052.202 NaN NaN 0.0645772 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 25.875 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202112.213 2.58749 NaN NaN NaN NaN NaN NaN NaN 
NaN -230 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -221.298 NaN NaN NaN NaN NaN NaN 4843.31062167294 -5239.9114236151 NaN 1654202142.219 NaN NaN 0.0610865 NaN 8.12939 NaN NaN 0 
-0.207385 NaN 0.0344291 NaN NaN NaN NaN NaN NaN NaN 14.6259 -0.218879 38.7006 NaN 0.055002 NaN NaN NaN NaN NaN NaN NaN NaN 1654202232.237 3.87006 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.111397 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202262.243 NaN NaN 0.0471239 NaN NaN NaN NaN NaN 
NaN NaN NaN 3.75731 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202322.253 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 51.7226 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202352.259 5.17226 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202382.266 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.35627 NaN NaN -0.307178 1654202412.272 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 63.8067 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202472.284 6.38067 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202502.29 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0990078 NaN NaN 75.4109 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202592.307 7.54109 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202622.313 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
-0.207385 NaN 0.0679896 NaN NaN NaN NaN NaN NaN NaN 14.7576 -0.218879 NaN NaN 0.0521072 NaN NaN NaN NaN NaN NaN NaN NaN 1654202652.319 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.1896 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202712.331 8.71896 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 3.75889 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654202742.336 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
