dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-263
the8x3_filename: 00560263
filename_extension: sbd
filename_label: sunfish-2022-110-0-263-sbd(00560263)
mission_name: regm20.mi
fileopen_time: Tue_Jun__7_12:14:18_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-263
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604068.647 NaN NaN NaN 1 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0180651 0.000788937 NaN NaN NaN NaN NaN NaN 1654604088.664 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 0.047085 NaN NaN NaN NaN NaN NaN NaN NaN 0.0300027 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604096.997 0.00300027 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0864863 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.301942 NaN NaN -0.420624 1654604181.143 NaN NaN 0.0715585 NaN NaN NaN NaN NaN 
-0.134588 NaN -0.0688493 NaN NaN NaN NaN NaN NaN NaN 14.5757 -0.149286 12.4239 NaN -0.45385 NaN NaN NaN NaN NaN NaN NaN NaN 1654604215.158 1.24239 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604275.168 NaN NaN 0.0506145 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 28.0907 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604335.18 2.80907 NaN NaN NaN NaN 0.0180651 0.000788937 NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604395.191 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 43.1903 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604455.203 4.31903 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.125443 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604485.208 NaN NaN 0.0523599 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.164833 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604515.214 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 57.3079 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604575.226 5.73079 NaN NaN NaN NaN NaN NaN NaN 
NaN -230 NaN NaN -0.3491 4755.89 -5326.61 NaN NaN NaN NaN NaN NaN -219.961 NaN NaN NaN NaN NaN 4.99688 4758.00214130186 -5324.77494194859 -0.331613 1654604605.233 NaN NaN 0.0506145 NaN 8.10057 NaN NaN 0 
-0.134588 NaN 0.342843 NaN NaN NaN NaN NaN NaN NaN 14.6018 -0.149286 NaN NaN -0.231587 NaN NaN NaN NaN NaN NaN NaN NaN 1654604635.238 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 70.9455 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604695.25 7.09455 NaN NaN 0 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604725.255 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.113792 NaN NaN 84.605 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604815.273 8.4605 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604845.279 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
NaN NaN NaN 0.407295 NaN NaN NaN NaN NaN NaN NaN NaN 97.7625 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604935.296 9.77625 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654604965.302 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5.46637 NaN NaN -0.319395 1654605005.384 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 107.582 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654605025.401 10.7582 NaN NaN NaN NaN NaN NaN NaN 
-0.134588 NaN 0.274252 NaN NaN NaN NaN NaN NaN NaN 14.5744 -0.149286 NaN NaN -0.34765 NaN NaN NaN NaN NaN NaN NaN NaN 1654605037.414 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654605057.496 NaN NaN 0.0471239 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.1109 NaN NaN 117.903 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654605117.533 11.7903 NaN NaN NaN NaN NaN NaN NaN 
