dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-31
the8x3_filename: 00560031
filename_extension: tbd
filename_label: sunfish-2022-110-0-31-tbd(00560031)
mission_name: regm20.mi
fileopen_time: Thu_Apr_28_04:13:46_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-31
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1651119281.667 32.798 378.578 91.848 NaN NaN NaN 
NaN NaN NaN 1651119285.667 NaN NaN NaN 3.19822 0.02877 3.7439 
0.000297168 0.9944 0.7008 1651119315.667 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651119346.667 NaN NaN NaN 3.1993 0.40187 3.7504 
NaN NaN NaN 1651119402.667 32.788 377.736 91.811 NaN NaN NaN 
NaN NaN NaN 1651119407.667 NaN NaN NaN 3.209 1.06541 3.8157 
NaN NaN NaN 1651119468.667 NaN NaN NaN 3.2101 1.68733 3.8218 
NaN NaN NaN 1651119523.667 32.816 376.404 91.557 NaN NaN NaN 
NaN NaN NaN 1651119529.667 NaN NaN NaN 3.21038 2.30749 3.8204 
NaN NaN NaN 1651119590.667 NaN NaN NaN 3.20838 2.93747 3.7886 
0.000275424 0.9944 0.7592 1651119616.667 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651119644.667 32.882 375.308 91.156 NaN NaN NaN 
NaN NaN NaN 1651119651.667 NaN NaN NaN 3.20555 3.58252 3.754 
NaN NaN NaN 1651119712.667 NaN NaN NaN 3.20277 4.23636 3.7148 
NaN NaN NaN 1651119765.667 33.009 372.263 90.305 NaN NaN NaN 
NaN NaN NaN 1651119773.667 NaN NaN NaN 3.20222 4.90274 3.7034 
NaN NaN NaN 1651119834.667 NaN NaN NaN 3.20257 5.55849 3.7053 
NaN NaN NaN 1651119886.667 33.086 370.163 89.769 NaN NaN NaN 
NaN NaN NaN 1651119895.667 NaN NaN NaN 3.19879 6.196 3.6627 
0.000212004 0.9944 0.3577 1651119917.667 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651119956.667 NaN NaN NaN 3.20117 6.80185 3.6825 
NaN NaN NaN 1651120007.667 33.16 368.254 89.263 NaN NaN NaN 
