dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-41
the8x3_filename: 00560041
filename_extension: tbd
filename_label: sunfish-2022-110-0-41-tbd(00560041)
mission_name: regm20.mi
fileopen_time: Sat_Apr_30_14:37:02_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-41
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1651329473.474 32.814 379.947 91.914 NaN NaN NaN 
NaN NaN NaN 1651329477.474 NaN NaN NaN 3.1822 0.02264 3.6139 
0.000282672 0.9944 0.2336 1651329491.474 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651329538.474 NaN NaN NaN 3.18236 0.49583 3.6118 
NaN NaN NaN 1651329594.474 32.808 380.029 91.946 NaN NaN NaN 
NaN NaN NaN 1651329599.474 NaN NaN NaN 3.1824 1.25123 3.6073 
NaN NaN NaN 1651329660.474 NaN NaN NaN 3.18242 1.92085 3.6043 
NaN NaN NaN 1651329715.474 32.808 379.202 91.866 NaN NaN NaN 
NaN NaN NaN 1651329721.474 NaN NaN NaN 3.1963 2.60334 3.6903 
NaN NaN NaN 1651329782.474 NaN NaN NaN 3.19882 3.25746 3.6713 
0.000259116 0.9944 0.8249 1651329792.474 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651329836.474 32.922 376.408 91.092 NaN NaN NaN 
NaN NaN NaN 1651329843.474 NaN NaN NaN 3.19289 3.91255 3.6023 
NaN NaN NaN 1651329904.474 NaN NaN NaN 3.19163 4.54526 3.5819 
NaN NaN NaN 1651329957.474 33.096 371.755 89.881 NaN NaN NaN 
NaN NaN NaN 1651329965.474 NaN NaN NaN 3.19266 5.15551 3.5893 
NaN NaN NaN 1651330026.474 NaN NaN NaN 3.19072 5.79118 3.5607 
NaN NaN NaN 1651330078.474 33.185 370.469 89.375 NaN NaN NaN 
NaN NaN NaN 1651330087.474 NaN NaN NaN 3.18322 6.43996 3.4712 
0.000206568 0.9944 0.2774 1651330093.474 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1651330148.475 NaN NaN NaN 3.18592 7.07248 3.4913 
NaN NaN NaN 1651330199.475 33.344 366.09 88.269 NaN NaN NaN 
