dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-90
the8x3_filename: 00560090
filename_extension: tbd
filename_label: sunfish-2022-110-0-90-tbd(00560090)
mission_name: regm20.mi
fileopen_time: Mon_May_16_22:31:11_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-90
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1652740326.101 32.932 385.916 91.97 NaN NaN NaN 
NaN NaN NaN 1652740330.101 NaN NaN NaN 3.12341 0.02825 3.0733 
NaN NaN NaN 1652740391.101 NaN NaN NaN 3.1235 0.04628 3.0737 
NaN NaN NaN 1652740447.101 32.913 386.145 92.075 NaN NaN NaN 
NaN NaN NaN 1652740452.101 NaN NaN NaN 3.12436 0.77867 3.079 
NaN NaN NaN 1652740513.101 NaN NaN NaN 3.12449 1.52605 3.0757 
0.00028992 0.9944 1.1607 1652740521.101 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652740568.101 32.915 386.005 92.052 NaN NaN NaN 
NaN NaN NaN 1652740574.101 NaN NaN NaN 3.12372 2.2502 3.064 
NaN NaN NaN 1652740635.101 NaN NaN NaN 3.12261 2.99231 3.0443 
NaN NaN NaN 1652740689.101 33.005 383.637 91.428 NaN NaN NaN 
NaN NaN NaN 1652740696.101 NaN NaN NaN 3.1398 3.77764 3.1178 
NaN NaN NaN 1652740757.101 NaN NaN NaN 3.15056 4.55868 3.1938 
NaN NaN NaN 1652740810.101 33.635 361.905 86.644 NaN NaN NaN 
NaN NaN NaN 1652740818.101 NaN NaN NaN 3.1636 5.32587 3.2957 
0.000177576 1.0848 0.1314 1652740822.101 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652740879.101 NaN NaN NaN 3.18042 6.06599 3.4426 
NaN NaN NaN 1652740931.101 33.886 350.738 84.534 NaN NaN NaN 
NaN NaN NaN 1652740940.101 NaN NaN NaN 3.18741 6.79601 3.4963 
NaN NaN NaN 1652741001.101 NaN NaN NaN 3.19229 7.52925 3.5417 
NaN NaN NaN 1652741052.101 33.979 345.947 83.692 NaN NaN NaN 
NaN NaN NaN 1652741062.101 NaN NaN NaN 3.20546 8.24621 3.6492 
