dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-92
the8x3_filename: 00560092
filename_extension: tbd
filename_label: sunfish-2022-110-0-92-tbd(00560092)
mission_name: regm20.mi
fileopen_time: Tue_May_17_08:33:45_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-92
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1652776484.002 32.881 385.543 92.159 NaN NaN NaN 
NaN NaN NaN 1652776488.002 NaN NaN NaN 3.13735 0.02418 3.1802 
NaN NaN NaN 1652776549.002 NaN NaN NaN 3.13804 0.36431 3.1872 
0.00032616 0.9944 1.3432 1652776577.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652776605.002 32.875 385.3 92.162 NaN NaN NaN 
NaN NaN NaN 1652776610.002 NaN NaN NaN 3.13918 1.20769 3.1937 
NaN NaN NaN 1652776671.002 NaN NaN NaN 3.13895 1.98526 3.1896 
NaN NaN NaN 1652776726.002 32.876 385.286 92.159 NaN NaN NaN 
NaN NaN NaN 1652776732.002 NaN NaN NaN 3.13954 2.78567 3.1914 
NaN NaN NaN 1652776793.002 NaN NaN NaN 3.14782 3.58994 3.2535 
NaN NaN NaN 1652776847.002 32.911 382.868 91.769 NaN NaN NaN 
NaN NaN NaN 1652776854.002 NaN NaN NaN 3.15164 4.38642 3.2781 
0.000288108 0.9944 0.9782 1652776878.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652776915.002 NaN NaN NaN 3.15332 5.18269 3.2865 
NaN NaN NaN 1652776968.002 33.04 378.67 90.795 NaN NaN NaN 
NaN NaN NaN 1652776976.002 NaN NaN NaN 3.15624 5.99379 3.2664 
NaN NaN NaN 1652777037.002 NaN NaN NaN 3.17009 6.77664 3.3375 
NaN NaN NaN 1652777089.002 33.441 365.947 87.848 NaN NaN NaN 
NaN NaN NaN 1652777098.002 NaN NaN NaN 3.17199 7.53335 3.3422 
NaN NaN NaN 1652777159.002 NaN NaN NaN 3.17897 8.3113 3.3896 
0.000179388 0.9944 0.1387 1652777179.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652777210.002 33.739 353.297 85.38 NaN NaN NaN 
