dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-110-0-97
the8x3_filename: 00560097
filename_extension: tbd
filename_label: sunfish-2022-110-0-97-tbd(00560097)
mission_name: regm20.mi
fileopen_time: Wed_May_18_14:33:46_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-110-0-97
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1652884433.082 0 0 0 NaN NaN NaN 
NaN NaN NaN 1652884484.082 NaN NaN NaN 2.9525 0.01526 1.618 
NaN NaN NaN 1652884545.082 NaN NaN NaN 2.94242 0.57616 1.509 
NaN NaN NaN 1652884553.082 32.466 428.782 98.081 NaN NaN NaN 
NaN NaN NaN 1652884606.082 NaN NaN NaN 3.07598 1.3917 2.6382 
0.000494676 1.0848 2.4163 1652884613.082 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652884667.082 NaN NaN NaN 3.09254 2.15178 2.7941 
NaN NaN NaN 1652884674.082 32.662 400.228 94.547 NaN NaN NaN 
NaN NaN NaN 1652884728.082 NaN NaN NaN 3.10507 2.91096 2.9052 
NaN NaN NaN 1652884789.082 NaN NaN NaN 3.12434 3.68228 3.0561 
NaN NaN NaN 1652884795.082 32.621 396.487 94.381 NaN NaN NaN 
NaN NaN NaN 1652884850.082 NaN NaN NaN 3.13505 4.4498 3.1583 
NaN NaN NaN 1652884911.082 NaN NaN NaN 3.14386 5.18847 3.2271 
0.000313476 0.9944 0.9198 1652884914.082 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1652884916.082 32.831 386.155 92.44 NaN NaN NaN 
NaN NaN NaN 1652884972.082 NaN NaN NaN 3.14508 5.8974 3.2341 
NaN NaN NaN 1652885033.082 NaN NaN NaN 3.14437 6.59993 3.2213 
NaN NaN NaN 1652885037.082 32.958 382.228 91.501 NaN NaN NaN 
NaN NaN NaN 1652885094.082 NaN NaN NaN 3.14494 7.32344 3.2141 
NaN NaN NaN 1652885155.082 NaN NaN NaN 3.14722 8.05004 3.2015 
NaN NaN NaN 1652885158.082 33.094 378.223 90.52 NaN NaN NaN 
0.000222876 1.0848 0.2409 1652885215.082 NaN NaN NaN NaN NaN NaN 
