dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-158-0-5
the8x3_filename: 00570005
filename_extension: sbd
filename_label: sunfish-2022-158-0-5-sbd(00570005)
mission_name: regm20.mi
fileopen_time: Wed_Jun__8_08:44:52_2022
sensors_per_cycle: 32
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-158-0-5
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_avg_climb_rate m_avg_dive_rate m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_science_on m_vacuum m_water_vx m_water_vy x_low_power_status 
in cc rad rad rad lat lon m m/s m/s volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad bool inHg m/s m/s nodim 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 1 4 4 4 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.488226 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654677902.887 0.0488226 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0307394 0.00859487 NaN NaN NaN NaN NaN NaN 1654677922.904 NaN NaN NaN NaN NaN 0.0307394 0.00859487 NaN 
NaN NaN NaN 6.11092 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654677933.999 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.43395 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654677994.134 0.343395 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN 0.0907483 NaN NaN NaN NaN NaN NaN NaN NaN NaN 6.07898 NaN NaN -0.371755 1654678026.158 NaN NaN 0.0610865 NaN NaN NaN NaN NaN 
0.201927 NaN 0.0267554 NaN NaN NaN NaN NaN NaN NaN 14.4229 0.287692 NaN NaN 0.0115794 NaN NaN NaN NaN NaN NaN NaN NaN 1654678064.174 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 19.2536 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678094.18 1.92536 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678124.186 NaN NaN 0.0593412 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 36.5351 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678214.204 3.65351 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678244.21 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN -205 NaN 6.1426 NaN NaN NaN NaN NaN 0.123839 NaN NaN 50.3473 -194.804 NaN NaN NaN NaN NaN NaN 4802.07932365462 -5321.39283320308 NaN 1654678334.231 5.03473 NaN NaN NaN 8.05243 NaN NaN 0 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678364.236 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 64.4213 NaN NaN NaN NaN NaN NaN 5.74213 NaN NaN -0.349066 1654678454.253 6.44213 NaN NaN NaN NaN NaN NaN NaN 
0.00825724 NaN 0.102763 NaN NaN NaN NaN NaN NaN NaN 14.5529 -0.00686386 NaN NaN 0.101319 NaN NaN NaN NaN NaN NaN NaN NaN 1654678484.259 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 78.0589 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678574.277 7.80589 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678604.283 NaN NaN 0.0541052 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.113976 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678664.294 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 91.6965 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678694.3 9.16965 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678724.306 NaN NaN 0.0558505 NaN NaN NaN NaN NaN 
NaN NaN NaN 6.24489 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678754.311 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 101.494 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678784.317 10.1494 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678816.408 NaN NaN 0.0575959 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0244346 NaN NaN -0.342085 1654678856.435 NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 111.837 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1654678876.521 11.1837 NaN NaN NaN NaN NaN NaN NaN 
0.00825724 NaN 0.0766929 NaN NaN NaN NaN NaN NaN NaN 14.5601 -0.00686386 NaN NaN 0.0955298 NaN NaN NaN NaN NaN NaN NaN NaN 1654678884.526 NaN NaN NaN NaN NaN NaN NaN NaN 
