dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2022-158-0-7
the8x3_filename: 00570007
filename_extension: tbd
filename_label: sunfish-2022-158-0-7-tbd(00570007)
mission_name: regm20.mi
fileopen_time: Wed_Jun__8_10:25:10_2022
sensors_per_cycle: 10
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2022-158-0-7
sci_flbbcd_bb_units sci_flbbcd_cdom_units sci_flbbcd_chlor_units sci_m_present_time sci_oxy4_calphase sci_oxy4_oxygen sci_oxy4_saturation sci_water_cond sci_water_pressure sci_water_temp 
nodim ppb ug/l timestamp deg um % s/m bar degc 
4 4 4 8 4 4 4 4 4 4 
NaN NaN NaN 1654683919.853 NaN NaN NaN 0 0 0 
NaN NaN NaN 1654683981.002 32.103 382.824 95.39 3.05772 0.07376 4.745 
NaN NaN NaN 1654684042.002 NaN NaN NaN 3.05726 0.55426 4.7367 
NaN NaN NaN 1654684102.002 32.099 383.215 95.449 NaN NaN NaN 
NaN NaN NaN 1654684103.002 NaN NaN NaN 3.0532 1.20016 4.6943 
0.000387768 1.356 0.4307 1654684161.002 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1654684164.002 NaN NaN NaN 2.95805 1.88602 3.5142 
NaN NaN NaN 1654684223.002 32.429 396.533 95.263 NaN NaN NaN 
NaN NaN NaN 1654684225.002 NaN NaN NaN 2.93109 2.53857 3.1495 
NaN NaN NaN 1654684286.002 NaN NaN NaN 2.80823 3.20441 1.4838 
NaN NaN NaN 1654684344.002 33.342 410.301 92.341 NaN NaN NaN 
NaN NaN NaN 1654684347.002 NaN NaN NaN 2.74355 3.84819 0.5903 
NaN NaN NaN 1654684408.002 NaN NaN NaN 2.69606 4.45672 -0.1387 
NaN NaN NaN 1654684465.002 34.246 403.614 87.737 NaN NaN NaN 
NaN NaN NaN 1654684469.002 NaN NaN NaN 2.67616 5.05002 -0.4552 
NaN NaN NaN 1654684530.002 NaN NaN NaN 2.69674 5.62359 -0.2359 
NaN NaN NaN 1654684586.002 34.619 391.351 85.135 NaN NaN NaN 
NaN NaN NaN 1654684591.002 NaN NaN NaN 2.68168 6.19589 -0.4458 
NaN NaN NaN 1654684652.002 NaN NaN NaN 2.69741 6.77529 -0.2545 
NaN NaN NaN 1654684707.002 34.723 386.792 84.326 NaN NaN NaN 
NaN NaN NaN 1654684713.002 NaN NaN NaN 2.71935 7.35688 -0.0519 
NaN NaN NaN 1654684774.002 NaN NaN NaN 2.72583 7.94069 0.0093 
